['145', '8', 'https://cars.av.by/alfa-romeo/145']
['146', '51', 'https://cars.av.by/alfa-romeo/146']
['147', '18', 'https://cars.av.by/alfa-romeo/147']
['155', '7', 'https://cars.av.by/alfa-romeo/155']
['156', '134', 'https://cars.av.by/alfa-romeo/156']
['159', '12', 'https://cars.av.by/alfa-romeo/159']
['164', '6', 'https://cars.av.by/alfa-romeo/164']
['166', '37', 'https://cars.av.by/alfa-romeo/166']
['75', '1', 'https://cars.av.by/alfa-romeo/75']
['Giulietta', '2', 'https://cars.av.by/alfa-romeo/giulietta']
['GT', '3', 'https://cars.av.by/alfa-romeo/gt']
['GTV', '2', 'https://cars.av.by/alfa-romeo/gtv']
['MiTo', '2', 'https://cars.av.by/alfa-romeo/mito']
['Spider', '1', 'https://cars.av.by/alfa-romeo/spider']
