['100', '699', 'https://cars.av.by/audi/100']
['200', '11', 'https://cars.av.by/audi/200']
['80', '569', 'https://cars.av.by/audi/80']
['90', '19', 'https://cars.av.by/audi/90']
['A1', '10', 'https://cars.av.by/audi/a1']
['A2', '5', 'https://cars.av.by/audi/a2']
['A3', '137', 'https://cars.av.by/audi/a3']
['A4', '841', 'https://cars.av.by/audi/a4']
['A4 Allroad', '9', 'https://cars.av.by/audi/a4-allroad']
['A5', '76', 'https://cars.av.by/audi/a5']
['A6', '1430', 'https://cars.av.by/audi/a6']
['A6 Allroad', '86', 'https://cars.av.by/audi/a6-allroad']
['A7', '40', 'https://cars.av.by/audi/a7']
['A8', '351', 'https://cars.av.by/audi/a8']
['Cabriolet', '1', 'https://cars.av.by/audi/cabriolet']
['Coupe', '6', 'https://cars.av.by/audi/coupe']
['Q3', '36', 'https://cars.av.by/audi/q3']
['Q5', '155', 'https://cars.av.by/audi/q5']
['Q7', '224', 'https://cars.av.by/audi/q7']
['Q8', '1', 'https://cars.av.by/audi/q8']
['RS Q3', '1', 'https://cars.av.by/audi/rs-q3']
['RS3', '3', 'https://cars.av.by/audi/rs3']
['RS5', '1', 'https://cars.av.by/audi/rs5']
['RS6', '3', 'https://cars.av.by/audi/rs6']
['RS7', '1', 'https://cars.av.by/audi/rs7']
['S4', '9', 'https://cars.av.by/audi/s4']
['S5', '6', 'https://cars.av.by/audi/s5']
['S6', '13', 'https://cars.av.by/audi/s6']
['S7', '1', 'https://cars.av.by/audi/s7']
['S8', '16', 'https://cars.av.by/audi/s8']
['SQ5', '1', 'https://cars.av.by/audi/sq5']
['TT', '18', 'https://cars.av.by/audi/tt']
['TTS', '2', 'https://cars.av.by/audi/tts']
['V8', '4', 'https://cars.av.by/audi/v8']
