['BLS', '3', 'https://cars.av.by/cadillac/bls']
['Catera', '3', 'https://cars.av.by/cadillac/catera']
['CT6', '1', 'https://cars.av.by/cadillac/ct6']
['CTS', '11', 'https://cars.av.by/cadillac/cts']
['De Ville', '6', 'https://cars.av.by/cadillac/de-ville']
['DTS', '1', 'https://cars.av.by/cadillac/dts']
['Eldorado', '2', 'https://cars.av.by/cadillac/eldorado']
['ELR', '2', 'https://cars.av.by/cadillac/elr']
['Escalade', '24', 'https://cars.av.by/cadillac/escalade']
['Fleetwood', '1', 'https://cars.av.by/cadillac/fleetwood']
['Seville', '2', 'https://cars.av.by/cadillac/seville']
['SRX', '20', 'https://cars.av.by/cadillac/srx']
['STS', '2', 'https://cars.av.by/cadillac/sts']
['XT5', '1', 'https://cars.av.by/cadillac/xt5']
