['A1', '1', 'https://cars.av.by/chery/a1']
['A13', '12', 'https://cars.av.by/chery/a13']
['A19', '1', 'https://cars.av.by/chery/a19']
['A5', '1', 'https://cars.av.by/chery/a5']
['Amulet', '6', 'https://cars.av.by/chery/amulet']
['Arrizo 7', '1', 'https://cars.av.by/chery/arrizo-7']
['Fora', '6', 'https://cars.av.by/chery/fora']
['Indis', '1', 'https://cars.av.by/chery/indis']
['Kimo', '2', 'https://cars.av.by/chery/kimo']
['QQ', '5', 'https://cars.av.by/chery/qq']
['QQ6', '8', 'https://cars.av.by/chery/qq6']
['Tiggo', '24', 'https://cars.av.by/chery/tiggo']
['Tiggo 3', '2', 'https://cars.av.by/chery/tiggo-3']
['Tiggo 5', '6', 'https://cars.av.by/chery/tiggo-5']
