['Astro', '6', 'https://cars.av.by/chevrolet/astro']
['Avalanche', '3', 'https://cars.av.by/chevrolet/avalanche']
['Aveo', '64', 'https://cars.av.by/chevrolet/aveo']
['Blazer', '11', 'https://cars.av.by/chevrolet/blazer']
['C/K', '1', 'https://cars.av.by/chevrolet/c-k']
['Camaro', '14', 'https://cars.av.by/chevrolet/camaro']
['Captiva', '86', 'https://cars.av.by/chevrolet/captiva']
['Cavalier', '1', 'https://cars.av.by/chevrolet/cavalier']
['Cobalt', '7', 'https://cars.av.by/chevrolet/cobalt']
['Colorado', '2', 'https://cars.av.by/chevrolet/colorado']
['Corvette', '1', 'https://cars.av.by/chevrolet/corvette']
['Cruze', '198', 'https://cars.av.by/chevrolet/cruze']
['Epica', '8', 'https://cars.av.by/chevrolet/epica']
['Equinox', '18', 'https://cars.av.by/chevrolet/equinox']
['Evanda', '1', 'https://cars.av.by/chevrolet/evanda']
['Express', '7', 'https://cars.av.by/chevrolet/express']
['HHR', '4', 'https://cars.av.by/chevrolet/hhr']
['Impala', '1', 'https://cars.av.by/chevrolet/impala']
['Kalos', '1', 'https://cars.av.by/chevrolet/kalos']
['Lacetti', '35', 'https://cars.av.by/chevrolet/lacetti']
['Lanos', '10', 'https://cars.av.by/chevrolet/lanos']
['Malibu', '45', 'https://cars.av.by/chevrolet/malibu']
['Matiz', '6', 'https://cars.av.by/chevrolet/matiz']
['Niva', '45', 'https://cars.av.by/chevrolet/niva']
['Orlando', '21', 'https://cars.av.by/chevrolet/orlando']
['Rezzo', '3', 'https://cars.av.by/chevrolet/rezzo']
['S-10', '1', 'https://cars.av.by/chevrolet/s-10']
['Silverado', '2', 'https://cars.av.by/chevrolet/silverado']
['Spark', '13', 'https://cars.av.by/chevrolet/spark']
['SSR', '1', 'https://cars.av.by/chevrolet/ssr']
['Suburban', '2', 'https://cars.av.by/chevrolet/suburban']
['Tahoe', '10', 'https://cars.av.by/chevrolet/tahoe']
['Tracker', '2', 'https://cars.av.by/chevrolet/tracker']
['TrailBlazer', '17', 'https://cars.av.by/chevrolet/trailblazer']
['Trans Sport', '1', 'https://cars.av.by/chevrolet/trans-sport']
['Trax', '26', 'https://cars.av.by/chevrolet/trax']
['Uplander', '1', 'https://cars.av.by/chevrolet/uplander']
['Venture', '2', 'https://cars.av.by/chevrolet/venture']
['Volt', '28', 'https://cars.av.by/chevrolet/volt']
