['180', '1', 'https://cars.av.by/chrysler/180']
['200', '1', 'https://cars.av.by/chrysler/200']
['300Ð\x9c', '23', 'https://cars.av.by/chrysler/300m']
['300Ð¡', '43', 'https://cars.av.by/chrysler/300s']
['Aspen', '1', 'https://cars.av.by/chrysler/aspen']
['Cirrus', '4', 'https://cars.av.by/chrysler/cirrus']
['Concorde', '10', 'https://cars.av.by/chrysler/concorde']
['Crossfire', '2', 'https://cars.av.by/chrysler/crossfire']
['Grand Voyager', '52', 'https://cars.av.by/chrysler/grand-voyager']
['Intrepid', '3', 'https://cars.av.by/chrysler/intrepid']
['Le Baron', '1', 'https://cars.av.by/chrysler/le-baron']
['LHS', '7', 'https://cars.av.by/chrysler/lhs']
['Neon', '31', 'https://cars.av.by/chrysler/neon']
['Pacifica', '73', 'https://cars.av.by/chrysler/pacifica']
['PT Cruiser', '39', 'https://cars.av.by/chrysler/pt-cruiser']
['Saratoga', '1', 'https://cars.av.by/chrysler/saratoga']
['Sebring', '60', 'https://cars.av.by/chrysler/sebring']
['Stratus', '22', 'https://cars.av.by/chrysler/stratus']
['Town and Country', '85', 'https://cars.av.by/chrysler/town-and-country']
['Vision', '5', 'https://cars.av.by/chrysler/vision']
['Voyager', '172', 'https://cars.av.by/chrysler/voyager']
