['AX', '3', 'https://cars.av.by/citroen/ax']
['Berlingo', '100', 'https://cars.av.by/citroen/berlingo']
['BX', '3', 'https://cars.av.by/citroen/bx']
['C-Crosser', '12', 'https://cars.av.by/citroen/c-crosser']
['C-Elysee', '16', 'https://cars.av.by/citroen/c-elysee']
['C1', '15', 'https://cars.av.by/citroen/c1']
['C15', '2', 'https://cars.av.by/citroen/c15']
['C2', '16', 'https://cars.av.by/citroen/c2']
['C3', '83', 'https://cars.av.by/citroen/c3']
['C3 Picasso', '27', 'https://cars.av.by/citroen/c3-picasso']
['C4', '178', 'https://cars.av.by/citroen/c4']
['C4 Aircross', '3', 'https://cars.av.by/citroen/c4-aircross']
['C4 Cactus', '8', 'https://cars.av.by/citroen/c4-cactus']
['C4 Grand Picasso', '179', 'https://cars.av.by/citroen/c4-grand-picasso']
['C4 Picasso', '77', 'https://cars.av.by/citroen/c4-picasso']
['C5', '466', 'https://cars.av.by/citroen/c5']
['C6', '7', 'https://cars.av.by/citroen/c6']
['C8', '55', 'https://cars.av.by/citroen/c8']
['DS3', '5', 'https://cars.av.by/citroen/ds3']
['DS4', '8', 'https://cars.av.by/citroen/ds4']
['DS5', '11', 'https://cars.av.by/citroen/ds5']
['Evasion', '107', 'https://cars.av.by/citroen/evasion']
['Jumpy', '37', 'https://cars.av.by/citroen/jumpy']
['Nemo', '16', 'https://cars.av.by/citroen/nemo']
['Saxo', '14', 'https://cars.av.by/citroen/saxo']
['SpaceTourer', '1', 'https://cars.av.by/citroen/spacetourer']
['Xantia', '480', 'https://cars.av.by/citroen/xantia']
['XM', '21', 'https://cars.av.by/citroen/xm']
['Xsara', '233', 'https://cars.av.by/citroen/xsara']
['Xsara Picasso', '170', 'https://cars.av.by/citroen/xsara-picasso']
['ZX', '39', 'https://cars.av.by/citroen/zx']
