Brand,Mark,Title,Hlink,Year,Transmission,Fuel,Type,Run,Cost
Acura,ILX,Acura ILX,https://cars.av.by/acura/ilx/16436765,2012,автомат,бензин,седан,100000,12 000
Acura,ILX,Acura ILX,https://cars.av.by/acura/ilx/16477896,2012,автомат,бензин,седан,107000,12 500
Acura,ILX,Acura ILX,https://cars.av.by/acura/ilx/16204308,2012,автомат,бензин,седан,85000,15 900
Acura,ILX,Acura ILX,https://cars.av.by/acura/ilx/16438741,2016,автомат,бензин,седан,33000,18 600
Acura,ILX,Acura ILX Hybrid,https://cars.av.by/acura/ilx/16304869,2014,автомат,бензин,седан,50000,13 500
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16338288,2006,автомат,бензин,внедорожник,90000,6 800
Acura,MDX,Acura MDX II Technology,https://cars.av.by/acura/mdx/16472960,2007,автомат,бензин,внедорожник,250000,12 450
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16441616,2005,автомат,бензин,внедорожник,246000,7 999
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16259297,2004,автомат,бензин,внедорожник,245000,6 900
Acura,MDX,Acura MDX II,https://cars.av.by/acura/mdx/16436136,2007,автомат,бензин,внедорожник,161000,13 999
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16219781,2000,автомат,бензин,внедорожник,242000,5 000
Acura,MDX,Acura MDX III,https://cars.av.by/acura/mdx/16491959,2014,автомат,бензин,внедорожник,128259,29 399
Acura,MDX,Acura MDX III Advance,https://cars.av.by/acura/mdx/16464000,2014,автомат,бензин,внедорожник,67000,19 999
Acura,MDX,Acura MDX II,https://cars.av.by/acura/mdx/16176883,2007,автомат,бензин,внедорожник,250000,11 999
Acura,MDX,Acura MDX II,https://cars.av.by/acura/mdx/16355067,2007,автомат,бензин,внедорожник,144000,13 200
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16362591,2004,автомат,бензин,внедорожник,145000,8 000
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/14584201,2003,автомат,бензин,внедорожник,280300,6 000
Acura,MDX,Acura MDX III (ÑÐµÑÑÐ°Ð¹Ð»Ð¸Ð½Ð³),https://cars.av.by/acura/mdx/16475930,2016,автомат,бензин,внедорожник,68000,38 000
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16467431,2005,автомат,бензин,внедорожник,250000,6 650
Acura,MDX,Acura MDX I 3.5 AWD,https://cars.av.by/acura/mdx/14337986,2002,автомат,бензин,внедорожник,290000,8 200
Acura,MDX,Acura MDX II,https://cars.av.by/acura/mdx/16400740,2008,автомат,бензин,внедорожник,102000,11 200
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16279453,2003,автомат,бензин,внедорожник,201000,7 300
Acura,MDX,Acura MDX II,https://cars.av.by/acura/mdx/16299544,2008,автомат,бензин,внедорожник,212000,12 700
Acura,MDX,Acura MDX III Advance,https://cars.av.by/acura/mdx/15627566,2014,автомат,бензин,внедорожник,118000,31 000
Acura,MDX,Acura MDX II TECH Entertainment,https://cars.av.by/acura/mdx/14525034,2007,автомат,бензин,внедорожник,127000,12 300
Acura,MDX,Acura MDX II (ÑÐµÑÑÐ°Ð¹Ð»Ð¸Ð½Ð³),https://cars.av.by/acura/mdx/16303232,2011,автомат,бензин,внедорожник,122000,22 900
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16390934,2002,автомат,бензин,внедорожник,189000,7 000
Acura,MDX,Acura MDX III Advance,https://cars.av.by/acura/mdx/16147815,2014,автомат,бензин,внедорожник,125000,30 900
Acura,MDX,Acura MDX II SPORT ENTERTAINMENT,https://cars.av.by/acura/mdx/16437192,2007,автомат,бензин,внедорожник,206000,13 200
Acura,MDX,Acura MDX III (2-Ð¹ ÑÐµÑÑÐ°Ð¹Ð»Ð¸Ð½Ð³) MDX III,https://cars.av.by/acura/mdx/16458418,2017,автомат,бензин,внедорожник,6800,58 000
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16338288,2006,автомат,бензин,внедорожник,90000,6 800
Acura,MDX,Acura MDX II Technology,https://cars.av.by/acura/mdx/16472960,2007,автомат,бензин,внедорожник,250000,12 450
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16441616,2005,автомат,бензин,внедорожник,246000,7 999
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16259297,2004,автомат,бензин,внедорожник,245000,6 900
Acura,MDX,Acura MDX II,https://cars.av.by/acura/mdx/16436136,2007,автомат,бензин,внедорожник,161000,13 999
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16219781,2000,автомат,бензин,внедорожник,242000,5 000
Acura,MDX,Acura MDX III,https://cars.av.by/acura/mdx/16491959,2014,автомат,бензин,внедорожник,128259,29 399
Acura,MDX,Acura MDX III Advance,https://cars.av.by/acura/mdx/16464000,2014,автомат,бензин,внедорожник,67000,19 999
Acura,MDX,Acura MDX II,https://cars.av.by/acura/mdx/16176883,2007,автомат,бензин,внедорожник,250000,11 999
Acura,MDX,Acura MDX II,https://cars.av.by/acura/mdx/16355067,2007,автомат,бензин,внедорожник,144000,13 200
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16362591,2004,автомат,бензин,внедорожник,145000,8 000
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/14584201,2003,автомат,бензин,внедорожник,280300,6 000
Acura,MDX,Acura MDX III (ÑÐµÑÑÐ°Ð¹Ð»Ð¸Ð½Ð³),https://cars.av.by/acura/mdx/16475930,2016,автомат,бензин,внедорожник,68000,38 000
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16467431,2005,автомат,бензин,внедорожник,250000,6 650
Acura,MDX,Acura MDX I 3.5 AWD,https://cars.av.by/acura/mdx/14337986,2002,автомат,бензин,внедорожник,290000,8 200
Acura,MDX,Acura MDX II,https://cars.av.by/acura/mdx/16400740,2008,автомат,бензин,внедорожник,102000,11 200
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16279453,2003,автомат,бензин,внедорожник,201000,7 300
Acura,MDX,Acura MDX II,https://cars.av.by/acura/mdx/16299544,2008,автомат,бензин,внедорожник,212000,12 700
Acura,MDX,Acura MDX III Advance,https://cars.av.by/acura/mdx/15627566,2014,автомат,бензин,внедорожник,118000,31 000
Acura,MDX,Acura MDX II TECH Entertainment,https://cars.av.by/acura/mdx/14525034,2007,автомат,бензин,внедорожник,127000,12 300
Acura,MDX,Acura MDX II (ÑÐµÑÑÐ°Ð¹Ð»Ð¸Ð½Ð³),https://cars.av.by/acura/mdx/16303232,2011,автомат,бензин,внедорожник,122000,22 900
Acura,MDX,Acura MDX I,https://cars.av.by/acura/mdx/16390934,2002,автомат,бензин,внедорожник,189000,7 000
Acura,MDX,Acura MDX III Advance,https://cars.av.by/acura/mdx/16147815,2014,автомат,бензин,внедорожник,125000,30 900
Acura,MDX,Acura MDX II SPORT ENTERTAINMENT,https://cars.av.by/acura/mdx/16437192,2007,автомат,бензин,внедорожник,206000,13 200
