['Espero', '26', 'https://cars.av.by/daewoo/espero']
['Evanda', '2', 'https://cars.av.by/daewoo/evanda']
['Gentra', '3', 'https://cars.av.by/daewoo/gentra']
['Kalos', '14', 'https://cars.av.by/daewoo/kalos']
['Lanos', '43', 'https://cars.av.by/daewoo/lanos']
['Leganza', '26', 'https://cars.av.by/daewoo/leganza']
['Matiz', '82', 'https://cars.av.by/daewoo/matiz']
['Musso', '1', 'https://cars.av.by/daewoo/musso']
['Nexia', '41', 'https://cars.av.by/daewoo/nexia']
['Nubira', '75', 'https://cars.av.by/daewoo/nubira']
['Rezzo', '6', 'https://cars.av.by/daewoo/rezzo']
['Tacuma', '10', 'https://cars.av.by/daewoo/tacuma']
