['Applause', '2', 'https://cars.av.by/daihatsu/applause']
['Charade', '1', 'https://cars.av.by/daihatsu/charade']
['Cuore', '5', 'https://cars.av.by/daihatsu/cuore']
['Feroza', '2', 'https://cars.av.by/daihatsu/feroza']
['Gran Move', '2', 'https://cars.av.by/daihatsu/gran-move']
['Hijet', '1', 'https://cars.av.by/daihatsu/hijet']
['Materia', '2', 'https://cars.av.by/daihatsu/materia']
['Move', '4', 'https://cars.av.by/daihatsu/move']
['Sirion', '10', 'https://cars.av.by/daihatsu/sirion']
['Terios', '3', 'https://cars.av.by/daihatsu/terios']
['YRV', '4', 'https://cars.av.by/daihatsu/yrv']
