['Avenger', '3', 'https://cars.av.by/dodge/avenger']
['Caliber', '57', 'https://cars.av.by/dodge/caliber']
['Caravan', '164', 'https://cars.av.by/dodge/caravan']
['Challenger', '6', 'https://cars.av.by/dodge/challenger']
['Charger', '3', 'https://cars.av.by/dodge/charger']
['Dakota', '2', 'https://cars.av.by/dodge/dakota']
['Dart', '7', 'https://cars.av.by/dodge/dart']
['Durango', '13', 'https://cars.av.by/dodge/durango']
['Grand Caravan', '78', 'https://cars.av.by/dodge/grand-caravan']
['Intrepid', '22', 'https://cars.av.by/dodge/intrepid']
['Journey', '22', 'https://cars.av.by/dodge/journey']
['Magnum', '2', 'https://cars.av.by/dodge/magnum']
['Neon', '25', 'https://cars.av.by/dodge/neon']
['Nitro', '7', 'https://cars.av.by/dodge/nitro']
['RAM', '19', 'https://cars.av.by/dodge/ram']
['Ram van', '1', 'https://cars.av.by/dodge/ram-van']
['Stealth', '2', 'https://cars.av.by/dodge/stealth']
['Stratus', '54', 'https://cars.av.by/dodge/stratus']
