['500', '9', 'https://cars.av.by/fiat/500']
['500L', '23', 'https://cars.av.by/fiat/500l']
['Albea', '5', 'https://cars.av.by/fiat/albea']
['Brava', '107', 'https://cars.av.by/fiat/brava']
['Bravo', '70', 'https://cars.av.by/fiat/bravo']
['Cinquecento', '1', 'https://cars.av.by/fiat/cinquecento']
['Coupe', '7', 'https://cars.av.by/fiat/coupe']
['Croma', '13', 'https://cars.av.by/fiat/croma']
['Doblo', '72', 'https://cars.av.by/fiat/doblo']
['Fiorino', '8', 'https://cars.av.by/fiat/fiorino']
['Freemont', '6', 'https://cars.av.by/fiat/freemont']
['Grande Punto', '30', 'https://cars.av.by/fiat/grande-punto']
['Idea', '3', 'https://cars.av.by/fiat/idea']
['Linea', '7', 'https://cars.av.by/fiat/linea']
['Marea', '171', 'https://cars.av.by/fiat/marea']
['Multipla', '26', 'https://cars.av.by/fiat/multipla']
['Palio', '61', 'https://cars.av.by/fiat/palio']
['Panda', '20', 'https://cars.av.by/fiat/panda']
['Punto', '166', 'https://cars.av.by/fiat/punto']
['Punto Evo', '7', 'https://cars.av.by/fiat/punto-evo']
['Qubo', '3', 'https://cars.av.by/fiat/qubo']
['Regata', '1', 'https://cars.av.by/fiat/regata']
['Scudo', '44', 'https://cars.av.by/fiat/scudo']
['Seicento', '8', 'https://cars.av.by/fiat/seicento']
['Siena', '1', 'https://cars.av.by/fiat/siena']
['Stilo', '69', 'https://cars.av.by/fiat/stilo']
['Talento', '2', 'https://cars.av.by/fiat/talento']
['Tempra', '42', 'https://cars.av.by/fiat/tempra']
['Tipo', '24', 'https://cars.av.by/fiat/tipo']
['Ulysse', '98', 'https://cars.av.by/fiat/ulysse']
['Uno', '10', 'https://cars.av.by/fiat/uno']
