['B-MAX', '6', 'https://cars.av.by/ford/b-max']
['C-MAX', '112', 'https://cars.av.by/ford/c-max']
['Capri', '1', 'https://cars.av.by/ford/capri']
['ContÐ¾ur', '6', 'https://cars.av.by/ford/contour']
['Cougar', '8', 'https://cars.av.by/ford/cougar']
['Courier', '5', 'https://cars.av.by/ford/courier']
['Econoline', '5', 'https://cars.av.by/ford/econoline']
['EcoSport', '13', 'https://cars.av.by/ford/ecosport']
['Edge', '19', 'https://cars.av.by/ford/edge']
['Escape', '127', 'https://cars.av.by/ford/escape']
['Escort', '283', 'https://cars.av.by/ford/escort']
['Excursion', '1', 'https://cars.av.by/ford/excursion']
['Expedition', '5', 'https://cars.av.by/ford/expedition']
['Explorer', '66', 'https://cars.av.by/ford/explorer']
['F-150', '15', 'https://cars.av.by/ford/f-150']
['F-250', '4', 'https://cars.av.by/ford/f-250']
['Festiva', '1', 'https://cars.av.by/ford/festiva']
['Fiesta', '174', 'https://cars.av.by/ford/fiesta']
['Five Hundred', '1', 'https://cars.av.by/ford/five-hundred']
['Focus', '586', 'https://cars.av.by/ford/focus']
['Focus ST', '1', 'https://cars.av.by/ford/focus-st']
['Freestyle', '3', 'https://cars.av.by/ford/freestyle']
['Fusion', '50', 'https://cars.av.by/ford/fusion']
['Fusion USA', '157', 'https://cars.av.by/ford/fusion-usa']
['Galaxy', '372', 'https://cars.av.by/ford/galaxy']
['Granada', '6', 'https://cars.av.by/ford/granada']
['Grand C-Max', '29', 'https://cars.av.by/ford/grand-c-max']
['Ka', '34', 'https://cars.av.by/ford/ka']
['Kuga', '74', 'https://cars.av.by/ford/kuga']
['Maverick', '9', 'https://cars.av.by/ford/maverick']
['Mondeo', '872', 'https://cars.av.by/ford/mondeo']
['Mustang', '32', 'https://cars.av.by/ford/mustang']
['Orion', '28', 'https://cars.av.by/ford/orion']
['Probe', '15', 'https://cars.av.by/ford/probe']
['Puma', '3', 'https://cars.av.by/ford/puma']
['Ranger', '5', 'https://cars.av.by/ford/ranger']
['S-MAX', '120', 'https://cars.av.by/ford/s-max']
['Scorpio', '100', 'https://cars.av.by/ford/scorpio']
['Sierra', '103', 'https://cars.av.by/ford/sierra']
['Taunus', '2', 'https://cars.av.by/ford/taunus']
['Taurus', '6', 'https://cars.av.by/ford/taurus']
['Thunderbird', '1', 'https://cars.av.by/ford/thunderbird']
['Tourneo Connect', '31', 'https://cars.av.by/ford/tourneo-connect']
['Tourneo Courier', '5', 'https://cars.av.by/ford/tourneo-courier']
['Tourneo Custom', '12', 'https://cars.av.by/ford/tourneo-custom']
['Transit Connect', '14', 'https://cars.av.by/ford/transit-connect']
['Transit Custom', '21', 'https://cars.av.by/ford/transit-custom']
['Windstar', '11', 'https://cars.av.by/ford/windstar']
