['Deer', '7', 'https://cars.av.by/great-wall/deer']
['Florid', '1', 'https://cars.av.by/great-wall/florid']
['Hover', '14', 'https://cars.av.by/great-wall/hover']
['Hover H3', '21', 'https://cars.av.by/great-wall/hover-h3']
['Hover H5', '16', 'https://cars.av.by/great-wall/hover-h5']
['Hover H6', '1', 'https://cars.av.by/great-wall/hover-h6']
['Hover M4', '2', 'https://cars.av.by/great-wall/hover-m4']
['Pegasus', '1', 'https://cars.av.by/great-wall/pegasus']
['Peri', '2', 'https://cars.av.by/great-wall/peri']
['Safe', '7', 'https://cars.av.by/great-wall/safe']
['Wingle', '1', 'https://cars.av.by/great-wall/wingle']
