['Accord', '360', 'https://cars.av.by/honda/accord']
['City', '1', 'https://cars.av.by/honda/city']
['Civic', '366', 'https://cars.av.by/honda/civic']
['Concerto', '8', 'https://cars.av.by/honda/concerto']
['CR-V', '177', 'https://cars.av.by/honda/cr-v']
['CR-Z', '6', 'https://cars.av.by/honda/cr-z']
['Crosstour', '9', 'https://cars.av.by/honda/crosstour']
['Element', '14', 'https://cars.av.by/honda/element']
['Fit', '30', 'https://cars.av.by/honda/fit']
['FR-V', '12', 'https://cars.av.by/honda/fr-v']
['HR-V', '23', 'https://cars.av.by/honda/hr-v']
['Insight', '29', 'https://cars.av.by/honda/insight']
['Jazz', '32', 'https://cars.av.by/honda/jazz']
['Legend', '14', 'https://cars.av.by/honda/legend']
['Logo', '1', 'https://cars.av.by/honda/logo']
['Odyssey', '7', 'https://cars.av.by/honda/odyssey']
['Pilot', '14', 'https://cars.av.by/honda/pilot']
['Prelude', '18', 'https://cars.av.by/honda/prelude']
['Ridgeline', '9', 'https://cars.av.by/honda/ridgeline']
['S2000', '2', 'https://cars.av.by/honda/s2000']
['Shuttle', '12', 'https://cars.av.by/honda/shuttle']
['Stream', '12', 'https://cars.av.by/honda/stream']
