['Accent', '151', 'https://cars.av.by/hyundai/accent']
['Atos', '20', 'https://cars.av.by/hyundai/atos']
['Centennial', '1', 'https://cars.av.by/hyundai/centennial']
['Coupe', '25', 'https://cars.av.by/hyundai/coupe']
['Creta', '32', 'https://cars.av.by/hyundai/creta']
['Elantra', '79', 'https://cars.av.by/hyundai/elantra']
['Equus', '8', 'https://cars.av.by/hyundai/equus']
['Excel', '2', 'https://cars.av.by/hyundai/excel']
['Galloper', '21', 'https://cars.av.by/hyundai/galloper']
['Genesis', '3', 'https://cars.av.by/hyundai/genesis']
['Genesis coupe', '2', 'https://cars.av.by/hyundai/genesis-coupe']
['Getz', '33', 'https://cars.av.by/hyundai/getz']
['Grace', '1', 'https://cars.av.by/hyundai/grace']
['Grand Santa Fe', '11', 'https://cars.av.by/hyundai/grand-santa-fe']
['Grandeur', '4', 'https://cars.av.by/hyundai/grandeur']
['H-1(Starex)', '49', 'https://cars.av.by/hyundai/h-1-starex']
['H100', '2', 'https://cars.av.by/hyundai/h100']
['i10', '10', 'https://cars.av.by/hyundai/i10']
['i20', '14', 'https://cars.av.by/hyundai/i20']
['i30', '59', 'https://cars.av.by/hyundai/i30']
['i40', '49', 'https://cars.av.by/hyundai/i40']
['ix20', '1', 'https://cars.av.by/hyundai/ix20']
['ix35', '89', 'https://cars.av.by/hyundai/ix35']
['ix55', '7', 'https://cars.av.by/hyundai/ix55']
['Lantra', '99', 'https://cars.av.by/hyundai/lantra']
['Matrix', '32', 'https://cars.av.by/hyundai/matrix']
['Pony', '7', 'https://cars.av.by/hyundai/pony']
['S Coupe', '3', 'https://cars.av.by/hyundai/s-coupe']
['Santa Fe', '397', 'https://cars.av.by/hyundai/santa-fe']
['Santamo', '27', 'https://cars.av.by/hyundai/santamo']
['Solaris', '152', 'https://cars.av.by/hyundai/solaris']
['Sonata', '158', 'https://cars.av.by/hyundai/sonata']
['Terracan', '56', 'https://cars.av.by/hyundai/terracan']
['Tiburon', '19', 'https://cars.av.by/hyundai/tiburon']
['Trajet', '38', 'https://cars.av.by/hyundai/trajet']
['Tucson', '88', 'https://cars.av.by/hyundai/tucson']
['Tuscani', '1', 'https://cars.av.by/hyundai/tuscani']
['Veloster', '3', 'https://cars.av.by/hyundai/veloster']
['Veracruz', '1', 'https://cars.av.by/hyundai/veracruz']
['XG', '2', 'https://cars.av.by/hyundai/xg']
