['EX', '18', 'https://cars.av.by/infiniti/ex']
['FX', '166', 'https://cars.av.by/infiniti/fx']
['G', '28', 'https://cars.av.by/infiniti/g']
['JX', '2', 'https://cars.av.by/infiniti/jx']
['M', '24', 'https://cars.av.by/infiniti/m']
['Q30', '6', 'https://cars.av.by/infiniti/q30']
['Q50', '2', 'https://cars.av.by/infiniti/q50']
['Q60', '2', 'https://cars.av.by/infiniti/q60']
['QX30', '1', 'https://cars.av.by/infiniti/qx30']
['QX4', '5', 'https://cars.av.by/infiniti/qx4']
['QX50', '1', 'https://cars.av.by/infiniti/qx50']
['QX56', '13', 'https://cars.av.by/infiniti/qx56']
['QX60', '2', 'https://cars.av.by/infiniti/qx60']
['QX70', '8', 'https://cars.av.by/infiniti/qx70']
['QX80', '1', 'https://cars.av.by/infiniti/qx80']
