['Acura', '103', 'https://cars.av.by/acura']
['Alfa Romeo', '284', 'https://cars.av.by/alfa-romeo']
['Asia', '1', 'https://cars.av.by/asia']
['Aston Martin', '1', 'https://cars.av.by/aston-martin']
['Audi', '4785', 'https://cars.av.by/audi']
['Bentley', '17', 'https://cars.av.by/bentley']
['BMW', '4843', 'https://cars.av.by/bmw']
['Brilliance', '3', 'https://cars.av.by/brilliance']
['Buick', '90', 'https://cars.av.by/buick']
['BYD', '3', 'https://cars.av.by/byd']
['Cadillac', '78', 'https://cars.av.by/cadillac']
['Changan', '5', 'https://cars.av.by/changan']
['Chery', '76', 'https://cars.av.by/chery']
['Chevrolet', '705', 'https://cars.av.by/chevrolet']
['Chrysler', '636', 'https://cars.av.by/chrysler']
['Citroen', '2392', 'https://cars.av.by/citroen']
['Dacia', '85', 'https://cars.av.by/dacia']
['Daewoo', '329', 'https://cars.av.by/daewoo']
['Daihatsu', '36', 'https://cars.av.by/daihatsu']
['Datsun', '12', 'https://cars.av.by/datsun']
['Dodge', '487', 'https://cars.av.by/dodge']
['Dong Feng', '1', 'https://cars.av.by/dong-feng']
['FAW', '2', 'https://cars.av.by/faw']
['Fiat', '1114', 'https://cars.av.by/fiat']
['Ford', '3554', 'https://cars.av.by/ford']
['FSO', '3', 'https://cars.av.by/fso']
['Geely', '97', 'https://cars.av.by/geely']
['GMC', '23', 'https://cars.av.by/gmc']
['Great Wall', '73', 'https://cars.av.by/great-wall']
['Hafei', '9', 'https://cars.av.by/hafei']
['Haval', '6', 'https://cars.av.by/haval']
['Honda', '1155', 'https://cars.av.by/honda']
['Hummer', '25', 'https://cars.av.by/hummer']
['Hyundai', '1756', 'https://cars.av.by/hyundai']
['Infiniti', '279', 'https://cars.av.by/infiniti']
['Iran Khodro', '11', 'https://cars.av.by/iran-khodro']
['Isuzu', '29', 'https://cars.av.by/isuzu']
['JAC', '4', 'https://cars.av.by/jac']
['Jaguar', '100', 'https://cars.av.by/jaguar']
['Jeep', '213', 'https://cars.av.by/jeep']
['Kia', '1478', 'https://cars.av.by/kia']
['Lada (Ð\x92Ð\x90Ð\x97)', '1207', 'https://cars.av.by/lada-vaz']
['Lancia', '122', 'https://cars.av.by/lancia']
['Land Rover', '443', 'https://cars.av.by/land-rover']
['Lexus', '455', 'https://cars.av.by/lexus']
['Lifan', '89', 'https://cars.av.by/lifan']
['Lincoln', '61', 'https://cars.av.by/lincoln']
['Mahindra', '1', 'https://cars.av.by/mahindra']
['Maserati', '4', 'https://cars.av.by/maserati']
['Mazda', '2067', 'https://cars.av.by/mazda']
['McLaren', '1', 'https://cars.av.by/mclaren']
['Mercedes-Benz', '3768', 'https://cars.av.by/mercedes-benz']
['Mercury', '8', 'https://cars.av.by/mercury']
['MG', '6', 'https://cars.av.by/mg']
['MINI', '100', 'https://cars.av.by/mini']
['Mitsubishi', '1421', 'https://cars.av.by/mitsubishi']
['Nissan', '2380', 'https://cars.av.by/nissan']
['Oldsmobile', '2', 'https://cars.av.by/oldsmobile']
['Opel', '4388', 'https://cars.av.by/opel']
['Peugeot', '3040', 'https://cars.av.by/peugeot']
['Plymouth', '12', 'https://cars.av.by/plymouth']
['Pontiac', '51', 'https://cars.av.by/pontiac']
['Porsche', '169', 'https://cars.av.by/porsche']
['Proton', '18', 'https://cars.av.by/proton']
['Ravon', '13', 'https://cars.av.by/ravon']
['Renault', '3947', 'https://cars.av.by/renault']
['Roewe', '1', 'https://cars.av.by/roewe']
['Rover', '369', 'https://cars.av.by/rover']
['Saab', '143', 'https://cars.av.by/saab']
['Saipa', '1', 'https://cars.av.by/saipa']
['Saturn', '18', 'https://cars.av.by/saturn']
['Scion', '10', 'https://cars.av.by/scion']
['SEAT', '506', 'https://cars.av.by/seat']
['Shanghai Maple', '1', 'https://cars.av.by/shanghai-maple']
['Skoda', '1318', 'https://cars.av.by/skoda']
['Smart', '24', 'https://cars.av.by/smart']
['SsangYong', '159', 'https://cars.av.by/ssangyong']
['Subaru', '428', 'https://cars.av.by/subaru']
['Suzuki', '390', 'https://cars.av.by/suzuki']
['Tata', '2', 'https://cars.av.by/tata']
['Tesla', '17', 'https://cars.av.by/tesla']
['Tianma', '1', 'https://cars.av.by/tianma']
['Toyota', '2304', 'https://cars.av.by/toyota']
['Volkswagen', '7777', 'https://cars.av.by/volkswagen']
['Volvo', '1293', 'https://cars.av.by/volvo']
['Vortex', '8', 'https://cars.av.by/vortex']
['Wartburg', '4', 'https://cars.av.by/wartburg']
['Zotye', '4', 'https://cars.av.by/zotye']
['Ð\x91Ð¾Ð³Ð´Ð°Ð½', '1', 'https://cars.av.by/bogdan']
['Ð\x93Ð\x90Ð\x97', '219', 'https://cars.av.by/gaz']
['Ð\x97Ð\x90Ð\x97', '68', 'https://cars.av.by/zaz']
['Ð\x98Ð\x96', '12', 'https://cars.av.by/izh']
['Ð\x9bÑ\x83Ð\x90Ð\x97', '34', 'https://cars.av.by/luaz']
['Ð\x9cÐ¾Ñ\x81ÐºÐ²Ð¸Ñ\x87', '86', 'https://cars.av.by/moskvich']
['Ð\xa0Ð\x90Ð¤', '1', 'https://cars.av.by/raf']
['Ð¢Ð°Ð³Ð\x90Ð\x97', '2', 'https://cars.av.by/tagaz']
['Ð£Ð\x90Ð\x97', '158', 'https://cars.av.by/uaz']
['Ð\xadÐºÑ\x81ÐºÐ»Ñ\x8eÐ·Ð¸Ð²', '47', 'https://cars.av.by/eksklyuziv']
None
