['Avella', '4', 'https://cars.av.by/kia/avella']
['Besta', '3', 'https://cars.av.by/kia/besta']
['Carens', '44', 'https://cars.av.by/kia/carens']
['Carnival', '48', 'https://cars.av.by/kia/carnival']
["Cee'd", '148', 'https://cars.av.by/kia/ceed']
['Cerato', '25', 'https://cars.av.by/kia/cerato']
['Clarus', '83', 'https://cars.av.by/kia/clarus']
['Forte', '1', 'https://cars.av.by/kia/forte']
['Joice', '10', 'https://cars.av.by/kia/joice']
['Magentis', '17', 'https://cars.av.by/kia/magentis']
['Mohave', '8', 'https://cars.av.by/kia/mohave']
['Opirus', '5', 'https://cars.av.by/kia/opirus']
['Optima', '41', 'https://cars.av.by/kia/optima']
['Picanto', '20', 'https://cars.av.by/kia/picanto']
['Pregio', '1', 'https://cars.av.by/kia/pregio']
['Pride', '9', 'https://cars.av.by/kia/pride']
['Quoris', '7', 'https://cars.av.by/kia/quoris']
['Retona', '2', 'https://cars.av.by/kia/retona']
['Rio', '215', 'https://cars.av.by/kia/rio']
['Sedona', '3', 'https://cars.av.by/kia/sedona']
['Sephia', '71', 'https://cars.av.by/kia/sephia']
['Shuma', '43', 'https://cars.av.by/kia/shuma']
['Sorento', '299', 'https://cars.av.by/kia/sorento']
['Soul', '21', 'https://cars.av.by/kia/soul']
['Spectra', '9', 'https://cars.av.by/kia/spectra']
['Sportage', '330', 'https://cars.av.by/kia/sportage']
['Venga', '11', 'https://cars.av.by/kia/venga']
