['1111 Ð\x9eÐºÐ°', '8', 'https://cars.av.by/lada-vaz/1111-oka']
['2101', '73', 'https://cars.av.by/lada-vaz/2101']
['2102', '9', 'https://cars.av.by/lada-vaz/2102']
['2103', '24', 'https://cars.av.by/lada-vaz/2103']
['2104', '35', 'https://cars.av.by/lada-vaz/2104']
['2105', '59', 'https://cars.av.by/lada-vaz/2105']
['2106', '190', 'https://cars.av.by/lada-vaz/2106']
['2107', '106', 'https://cars.av.by/lada-vaz/2107']
['2108', '44', 'https://cars.av.by/lada-vaz/2108']
['2109', '117', 'https://cars.av.by/lada-vaz/2109']
['21099', '38', 'https://cars.av.by/lada-vaz/21099']
['2110', '17', 'https://cars.av.by/lada-vaz/2110']
['2111', '13', 'https://cars.av.by/lada-vaz/2111']
['2112', '13', 'https://cars.av.by/lada-vaz/2112']
['2113', '5', 'https://cars.av.by/lada-vaz/2113']
['2114', '29', 'https://cars.av.by/lada-vaz/2114']
['2115', '22', 'https://cars.av.by/lada-vaz/2115']
['2120 Ð\x9dÐ°Ð´ÐµÐ¶Ð´Ð°', '1', 'https://cars.av.by/lada-vaz/2120-nadezhda']
['2121 Ð\x9dÐ¸Ð²Ð°', '146', 'https://cars.av.by/lada-vaz/2121-niva']
['2131 Ð\x9dÐ¸Ð²Ð°', '36', 'https://cars.av.by/lada-vaz/2131-niva']
['Granta', '37', 'https://cars.av.by/lada-vaz/granta']
['Kalina', '16', 'https://cars.av.by/lada-vaz/kalina']
['Largus', '37', 'https://cars.av.by/lada-vaz/largus']
['Priora', '25', 'https://cars.av.by/lada-vaz/priora']
['Vesta', '81', 'https://cars.av.by/lada-vaz/vesta']
['XRAY', '26', 'https://cars.av.by/lada-vaz/xray']
