['CT', '17', 'https://cars.av.by/lexus/ct']
['ES', '24', 'https://cars.av.by/lexus/es']
['GS', '65', 'https://cars.av.by/lexus/gs']
['GX', '19', 'https://cars.av.by/lexus/gx']
['HS', '3', 'https://cars.av.by/lexus/hs']
['IS', '42', 'https://cars.av.by/lexus/is']
['LS', '36', 'https://cars.av.by/lexus/ls']
['LX', '25', 'https://cars.av.by/lexus/lx']
['NX', '24', 'https://cars.av.by/lexus/nx']
['RC', '1', 'https://cars.av.by/lexus/rc']
['RX', '195', 'https://cars.av.by/lexus/rx']
['SC', '4', 'https://cars.av.by/lexus/sc']
