['121', '9', 'https://cars.av.by/mazda/121']
['2', '31', 'https://cars.av.by/mazda/2']
['3', '215', 'https://cars.av.by/mazda/3']
['323', '135', 'https://cars.av.by/mazda/323']
['323F', '146', 'https://cars.av.by/mazda/323f']
['5', '45', 'https://cars.av.by/mazda/5']
['6', '417', 'https://cars.av.by/mazda/6']
['626', '497', 'https://cars.av.by/mazda/626']
['929', '6', 'https://cars.av.by/mazda/929']
['B-Series', '2', 'https://cars.av.by/mazda/b-series']
['Bongo', '1', 'https://cars.av.by/mazda/bongo']
['BT-50', '2', 'https://cars.av.by/mazda/bt-50']
['Cosmo', '1', 'https://cars.av.by/mazda/cosmo']
['CX-3', '4', 'https://cars.av.by/mazda/cx-3']
['CX-5', '74', 'https://cars.av.by/mazda/cx-5']
['CX-7', '119', 'https://cars.av.by/mazda/cx-7']
['CX-9', '23', 'https://cars.av.by/mazda/cx-9']
['Demio', '19', 'https://cars.av.by/mazda/demio']
['E-Series', '2', 'https://cars.av.by/mazda/e-series']
['Millenia', '26', 'https://cars.av.by/mazda/millenia']
['MPV', '109', 'https://cars.av.by/mazda/mpv']
['MX-3', '12', 'https://cars.av.by/mazda/mx-3']
['MX-5', '1', 'https://cars.av.by/mazda/mx-5']
['MX-6', '5', 'https://cars.av.by/mazda/mx-6']
['Premacy', '57', 'https://cars.av.by/mazda/premacy']
['Protege', '17', 'https://cars.av.by/mazda/protege']
['RX-8', '9', 'https://cars.av.by/mazda/rx-8']
['Tribute', '16', 'https://cars.av.by/mazda/tribute']
['Xedos 6', '41', 'https://cars.av.by/mazda/xedos-6']
['Xedos 9', '26', 'https://cars.av.by/mazda/xedos-9']
