['3000GT', '1', 'https://cars.av.by/mitsubishi/3000gt']
['ASX', '65', 'https://cars.av.by/mitsubishi/asx']
['Carisma', '134', 'https://cars.av.by/mitsubishi/carisma']
['Colt', '98', 'https://cars.av.by/mitsubishi/colt']
['Delica', '2', 'https://cars.av.by/mitsubishi/delica']
['Diamante', '1', 'https://cars.av.by/mitsubishi/diamante']
['Eclipse', '25', 'https://cars.av.by/mitsubishi/eclipse']
['Eclipse Cross', '3', 'https://cars.av.by/mitsubishi/eclipse-cross']
['Endeavor', '1', 'https://cars.av.by/mitsubishi/endeavor']
['Galant', '202', 'https://cars.av.by/mitsubishi/galant']
['Grandis', '26', 'https://cars.av.by/mitsubishi/grandis']
['L200', '41', 'https://cars.av.by/mitsubishi/l200']
['L300', '7', 'https://cars.av.by/mitsubishi/l300']
['Lancer', '173', 'https://cars.av.by/mitsubishi/lancer']
['Lancer Evolution', '7', 'https://cars.av.by/mitsubishi/lancer-evolution']
['Mirage', '9', 'https://cars.av.by/mitsubishi/mirage']
['Montero', '9', 'https://cars.av.by/mitsubishi/montero']
['Montero Sport', '18', 'https://cars.av.by/mitsubishi/montero-sport']
['Outlander', '196', 'https://cars.av.by/mitsubishi/outlander']
['Pajero', '163', 'https://cars.av.by/mitsubishi/pajero']
['Pajero Pinin', '5', 'https://cars.av.by/mitsubishi/pajero-pinin']
['Pajero Sport', '51', 'https://cars.av.by/mitsubishi/pajero-sport']
['Sigma', '1', 'https://cars.av.by/mitsubishi/sigma']
['Space Gear', '12', 'https://cars.av.by/mitsubishi/space-gear']
['Space Runner', '32', 'https://cars.av.by/mitsubishi/space-runner']
['Space Star', '71', 'https://cars.av.by/mitsubishi/space-star']
['Space Wagon', '68', 'https://cars.av.by/mitsubishi/space-wagon']
