['100NX', '5', 'https://cars.av.by/nissan/100nx']
['200SX', '2', 'https://cars.av.by/nissan/200sx']
['350Z', '1', 'https://cars.av.by/nissan/350z']
['Almera', '232', 'https://cars.av.by/nissan/almera']
['Almera Classic', '15', 'https://cars.av.by/nissan/almera-classic']
['Almera Tino', '60', 'https://cars.av.by/nissan/almera-tino']
['Altima', '23', 'https://cars.av.by/nissan/altima']
['Armada', '4', 'https://cars.av.by/nissan/armada']
['Bluebird', '13', 'https://cars.av.by/nissan/bluebird']
['Cherry', '1', 'https://cars.av.by/nissan/cherry']
['Cube', '1', 'https://cars.av.by/nissan/cube']
['Frontier', '2', 'https://cars.av.by/nissan/frontier']
['GT-R', '2', 'https://cars.av.by/nissan/gt-r']
['Juke', '115', 'https://cars.av.by/nissan/juke']
['Laurel', '1', 'https://cars.av.by/nissan/laurel']
['Leaf', '13', 'https://cars.av.by/nissan/leaf']
['Maxima', '53', 'https://cars.av.by/nissan/maxima']
['Micra', '48', 'https://cars.av.by/nissan/micra']
['Murano', '92', 'https://cars.av.by/nissan/murano']
['Navara', '46', 'https://cars.av.by/nissan/navara']
['Note', '55', 'https://cars.av.by/nissan/note']
['NV1500', '1', 'https://cars.av.by/nissan/nv1500']
['NV200', '6', 'https://cars.av.by/nissan/nv200']
['Pathfinder', '57', 'https://cars.av.by/nissan/pathfinder']
['Patrol', '82', 'https://cars.av.by/nissan/patrol']
['Pixo', '4', 'https://cars.av.by/nissan/pixo']
['Prairie', '5', 'https://cars.av.by/nissan/prairie']
['Primastar', '3', 'https://cars.av.by/nissan/primastar']
['Primera', '515', 'https://cars.av.by/nissan/primera']
['Pulsar', '1', 'https://cars.av.by/nissan/pulsar']
['Qashqai', '349', 'https://cars.av.by/nissan/qashqai']
['Qashqai+2', '43', 'https://cars.av.by/nissan/qashqai-2']
['Quest', '5', 'https://cars.av.by/nissan/quest']
['Rogue', '7', 'https://cars.av.by/nissan/rogue']
['Sentra', '30', 'https://cars.av.by/nissan/sentra']
['Serena', '46', 'https://cars.av.by/nissan/serena']
['Silvia', '1', 'https://cars.av.by/nissan/silvia']
['Sunny', '68', 'https://cars.av.by/nissan/sunny']
['Teana', '58', 'https://cars.av.by/nissan/teana']
['Terrano', '54', 'https://cars.av.by/nissan/terrano']
['Tiida', '20', 'https://cars.av.by/nissan/tiida']
['Titan', '1', 'https://cars.av.by/nissan/titan']
['Vanette', '19', 'https://cars.av.by/nissan/vanette']
['Versa', '4', 'https://cars.av.by/nissan/versa']
['X-Trail', '216', 'https://cars.av.by/nissan/x-trail']
['XTerra', '1', 'https://cars.av.by/nissan/xterra']
