['Agila', '24', 'https://cars.av.by/opel/agila']
['Antara', '61', 'https://cars.av.by/opel/antara']
['Ascona', '24', 'https://cars.av.by/opel/ascona']
['Astra', '1253', 'https://cars.av.by/opel/astra']
['Calibra', '20', 'https://cars.av.by/opel/calibra']
['Campo', '2', 'https://cars.av.by/opel/campo']
['Combo', '30', 'https://cars.av.by/opel/combo']
['Commodore', '1', 'https://cars.av.by/opel/commodore']
['Corsa', '225', 'https://cars.av.by/opel/corsa']
['Frontera', '68', 'https://cars.av.by/opel/frontera']
['Insignia', '249', 'https://cars.av.by/opel/insignia']
['Kadett', '51', 'https://cars.av.by/opel/kadett']
['Manta', '1', 'https://cars.av.by/opel/manta']
['Meriva', '120', 'https://cars.av.by/opel/meriva']
['Mokka', '62', 'https://cars.av.by/opel/mokka']
['Monterey', '12', 'https://cars.av.by/opel/monterey']
['Omega', '480', 'https://cars.av.by/opel/omega']
['Rekord', '10', 'https://cars.av.by/opel/rekord']
['Signum', '46', 'https://cars.av.by/opel/signum']
['Sintra', '59', 'https://cars.av.by/opel/sintra']
['Tigra', '25', 'https://cars.av.by/opel/tigra']
['Vectra', '911', 'https://cars.av.by/opel/vectra']
['Vivaro', '41', 'https://cars.av.by/opel/vivaro']
['Zafira', '614', 'https://cars.av.by/opel/zafira']
