['1007', '5', 'https://cars.av.by/peugeot/1007']
['106', '33', 'https://cars.av.by/peugeot/106']
['107', '20', 'https://cars.av.by/peugeot/107']
['108', '1', 'https://cars.av.by/peugeot/108']
['2008', '8', 'https://cars.av.by/peugeot/2008']
['205', '7', 'https://cars.av.by/peugeot/205']
['206', '205', 'https://cars.av.by/peugeot/206']
['207', '141', 'https://cars.av.by/peugeot/207']
['208', '16', 'https://cars.av.by/peugeot/208']
['3008', '154', 'https://cars.av.by/peugeot/3008']
['301', '17', 'https://cars.av.by/peugeot/301']
['305', '1', 'https://cars.av.by/peugeot/305']
['306', '131', 'https://cars.av.by/peugeot/306']
['307', '287', 'https://cars.av.by/peugeot/307']
['308', '324', 'https://cars.av.by/peugeot/308']
['309', '8', 'https://cars.av.by/peugeot/309']
['4007', '15', 'https://cars.av.by/peugeot/4007']
['405', '124', 'https://cars.av.by/peugeot/405']
['406', '591', 'https://cars.av.by/peugeot/406']
['407', '171', 'https://cars.av.by/peugeot/407']
['408', '44', 'https://cars.av.by/peugeot/408']
['5008', '110', 'https://cars.av.by/peugeot/5008']
['505', '1', 'https://cars.av.by/peugeot/505']
['508', '56', 'https://cars.av.by/peugeot/508']
['605', '135', 'https://cars.av.by/peugeot/605']
['607', '125', 'https://cars.av.by/peugeot/607']
['806', '99', 'https://cars.av.by/peugeot/806']
['807', '64', 'https://cars.av.by/peugeot/807']
['Bipper', '8', 'https://cars.av.by/peugeot/bipper']
['Expert', '30', 'https://cars.av.by/peugeot/expert']
['Partner', '108', 'https://cars.av.by/peugeot/partner']
['Traveller', '1', 'https://cars.av.by/peugeot/traveller']
