['11', '3', 'https://cars.av.by/renault/11']
['19', '144', 'https://cars.av.by/renault/19']
['21', '18', 'https://cars.av.by/renault/21']
['25', '9', 'https://cars.av.by/renault/25']
['5', '1', 'https://cars.av.by/renault/5']
['9', '1', 'https://cars.av.by/renault/9']
['Arkana', '5', 'https://cars.av.by/renault/arkana']
['Captur', '8', 'https://cars.av.by/renault/captur']
['Clio', '150', 'https://cars.av.by/renault/clio']
['Clio RS', '1', 'https://cars.av.by/renault/clio-rs']
['Dokker', '16', 'https://cars.av.by/renault/dokker']
['Duster', '130', 'https://cars.av.by/renault/duster']
['Espace', '212', 'https://cars.av.by/renault/espace']
['Fluence', '29', 'https://cars.av.by/renault/fluence']
['Grand Espace', '53', 'https://cars.av.by/renault/grand-espace']
['Grand Scenic', '213', 'https://cars.av.by/renault/grand-scenic']
['Kadjar', '37', 'https://cars.av.by/renault/kadjar']
['Kangoo', '83', 'https://cars.av.by/renault/kangoo']
['Kaptur', '71', 'https://cars.av.by/renault/kaptur']
['Koleos', '17', 'https://cars.av.by/renault/koleos']
['Laguna', '874', 'https://cars.av.by/renault/laguna']
['Latitude', '10', 'https://cars.av.by/renault/latitude']
['Lodgy', '1', 'https://cars.av.by/renault/lodgy']
['Logan', '114', 'https://cars.av.by/renault/logan']
['Megane', '577', 'https://cars.av.by/renault/megane']
['Modus', '11', 'https://cars.av.by/renault/modus']
['Rapid', '4', 'https://cars.av.by/renault/rapid']
['Safrane', '157', 'https://cars.av.by/renault/safrane']
['Sandero', '116', 'https://cars.av.by/renault/sandero']
['Scenic', '714', 'https://cars.av.by/renault/scenic']
['Scenic RX4', '11', 'https://cars.av.by/renault/scenic-rx4']
['Scenic XMOD', '2', 'https://cars.av.by/renault/scenic-xmod']
['Symbol', '14', 'https://cars.av.by/renault/symbol']
['Talisman', '16', 'https://cars.av.by/renault/talisman']
['Trafic', '52', 'https://cars.av.by/renault/trafic']
['Twingo', '31', 'https://cars.av.by/renault/twingo']
['Vel Satis', '42', 'https://cars.av.by/renault/vel-satis']
