['Alhambra', '163', 'https://cars.av.by/seat/alhambra']
['Altea', '28', 'https://cars.av.by/seat/altea']
['Arosa', '6', 'https://cars.av.by/seat/arosa']
['Cordoba', '56', 'https://cars.av.by/seat/cordoba']
['Exeo', '1', 'https://cars.av.by/seat/exeo']
['Ibiza', '93', 'https://cars.av.by/seat/ibiza']
['Inca', '1', 'https://cars.av.by/seat/inca']
['Leon', '29', 'https://cars.av.by/seat/leon']
['Malaga', '3', 'https://cars.av.by/seat/malaga']
['Mii', '2', 'https://cars.av.by/seat/mii']
['Toledo', '124', 'https://cars.av.by/seat/toledo']
