['Citigo', '2', 'https://cars.av.by/skoda/citigo']
['Fabia', '185', 'https://cars.av.by/skoda/fabia']
['Favorit', '2', 'https://cars.av.by/skoda/favorit']
['Felicia', '34', 'https://cars.av.by/skoda/felicia']
['Forman', '3', 'https://cars.av.by/skoda/forman']
['Kodiaq', '12', 'https://cars.av.by/skoda/kodiaq']
['Octavia', '606', 'https://cars.av.by/skoda/octavia']
['Praktik', '1', 'https://cars.av.by/skoda/praktik']
['Rapid', '98', 'https://cars.av.by/skoda/rapid']
['Roomster', '34', 'https://cars.av.by/skoda/roomster']
['Superb', '275', 'https://cars.av.by/skoda/superb']
['Yeti', '66', 'https://cars.av.by/skoda/yeti']
