['Baja', '1', 'https://cars.av.by/subaru/baja']
['Forester', '131', 'https://cars.av.by/subaru/forester']
['Impreza', '62', 'https://cars.av.by/subaru/impreza']
['Justy', '9', 'https://cars.av.by/subaru/justy']
['Legacy', '76', 'https://cars.av.by/subaru/legacy']
['Leone', '2', 'https://cars.av.by/subaru/leone']
['Libero', '3', 'https://cars.av.by/subaru/libero']
['Outback', '93', 'https://cars.av.by/subaru/outback']
['Tribeca', '31', 'https://cars.av.by/subaru/tribeca']
['Vivio', '1', 'https://cars.av.by/subaru/vivio']
['WRX', '2', 'https://cars.av.by/subaru/wrx']
['XV', '17', 'https://cars.av.by/subaru/xv']
