['Aerio', '3', 'https://cars.av.by/suzuki/aerio']
['Alto', '11', 'https://cars.av.by/suzuki/alto']
['Baleno', '69', 'https://cars.av.by/suzuki/baleno']
['Carry', '1', 'https://cars.av.by/suzuki/carry']
['Equator', '1', 'https://cars.av.by/suzuki/equator']
['Forenza', '6', 'https://cars.av.by/suzuki/forenza']
['Grand Vitara', '111', 'https://cars.av.by/suzuki/grand-vitara']
['Ignis', '10', 'https://cars.av.by/suzuki/ignis']
['Jimny', '2', 'https://cars.av.by/suzuki/jimny']
['Kizashi', '5', 'https://cars.av.by/suzuki/kizashi']
['Liana', '28', 'https://cars.av.by/suzuki/liana']
['Splash', '16', 'https://cars.av.by/suzuki/splash']
['Swift', '39', 'https://cars.av.by/suzuki/swift']
['SX4', '40', 'https://cars.av.by/suzuki/sx4']
['Verona', '3', 'https://cars.av.by/suzuki/verona']
['Vitara', '15', 'https://cars.av.by/suzuki/vitara']
['Wagon R+', '17', 'https://cars.av.by/suzuki/wagon-r']
['X-90', '1', 'https://cars.av.by/suzuki/x-90']
['XL-7', '11', 'https://cars.av.by/suzuki/xl-7']
