['4Runner', '14', 'https://cars.av.by/toyota/4runner']
['Alphard', '5', 'https://cars.av.by/toyota/alphard']
['Auris', '98', 'https://cars.av.by/toyota/auris']
['Avalon', '1', 'https://cars.av.by/toyota/avalon']
['Avensis', '256', 'https://cars.av.by/toyota/avensis']
['Avensis Verso', '39', 'https://cars.av.by/toyota/avensis-verso']
['Aygo', '26', 'https://cars.av.by/toyota/aygo']
['C-HR', '1', 'https://cars.av.by/toyota/c-hr']
['Camry', '240', 'https://cars.av.by/toyota/camry']
['Camry Solara', '12', 'https://cars.av.by/toyota/camry-solara']
['Carina', '11', 'https://cars.av.by/toyota/carina']
['Carina E', '77', 'https://cars.av.by/toyota/carina-e']
['Celica', '19', 'https://cars.av.by/toyota/celica']
['Corolla', '276', 'https://cars.av.by/toyota/corolla']
['Corolla Verso', '86', 'https://cars.av.by/toyota/corolla-verso']
['Echo', '4', 'https://cars.av.by/toyota/echo']
['Fortuner', '3', 'https://cars.av.by/toyota/fortuner']
['Hiace', '7', 'https://cars.av.by/toyota/hiace']
['Highlander', '60', 'https://cars.av.by/toyota/highlander']
['Hilux', '16', 'https://cars.av.by/toyota/hilux']
['iQ', '3', 'https://cars.av.by/toyota/iq']
['Land Cruiser', '128', 'https://cars.av.by/toyota/land-cruiser']
['Land Cruiser Prado', '135', 'https://cars.av.by/toyota/land-cruiser-prado']
['Lite Ace', '2', 'https://cars.av.by/toyota/lite-ace']
['Mark II', '2', 'https://cars.av.by/toyota/mark-ii']
['Matrix', '17', 'https://cars.av.by/toyota/matrix']
['MR2', '1', 'https://cars.av.by/toyota/mr2']
['Paseo', '4', 'https://cars.av.by/toyota/paseo']
['Picnic', '35', 'https://cars.av.by/toyota/picnic']
['Previa', '31', 'https://cars.av.by/toyota/previa']
['Prius', '79', 'https://cars.av.by/toyota/prius']
['Prius C', '13', 'https://cars.av.by/toyota/prius-c']
['Prius V(+)', '31', 'https://cars.av.by/toyota/prius-v-plus']
['RAV4', '231', 'https://cars.av.by/toyota/rav4']
['Sequoia', '6', 'https://cars.av.by/toyota/sequoia']
['Sienna', '65', 'https://cars.av.by/toyota/sienna']
['Starlet', '1', 'https://cars.av.by/toyota/starlet']
['Supra', '1', 'https://cars.av.by/toyota/supra']
['Tacoma', '1', 'https://cars.av.by/toyota/tacoma']
['Tercel', '1', 'https://cars.av.by/toyota/tercel']
['Town Ace', '1', 'https://cars.av.by/toyota/town-ace']
['Tundra', '23', 'https://cars.av.by/toyota/tundra']
['Urban Cruiser', '4', 'https://cars.av.by/toyota/urban-cruiser']
['Venza', '34', 'https://cars.av.by/toyota/venza']
['Verso', '40', 'https://cars.av.by/toyota/verso']
['Verso-S', '3', 'https://cars.av.by/toyota/verso-s']
['Yaris', '145', 'https://cars.av.by/toyota/yaris']
['Yaris Verso', '17', 'https://cars.av.by/toyota/yaris-verso']
