['Amarok', '11', 'https://cars.av.by/volkswagen/amarok']
['Beetle', '18', 'https://cars.av.by/volkswagen/beetle']
['Bora', '51', 'https://cars.av.by/volkswagen/bora']
['Caddy', '109', 'https://cars.av.by/volkswagen/caddy']
['Caddy MAXI', '39', 'https://cars.av.by/volkswagen/caddy-maxi']
['Caravelle', '324', 'https://cars.av.by/volkswagen/caravelle']
['Corrado', '1', 'https://cars.av.by/volkswagen/corrado']
['Eos', '2', 'https://cars.av.by/volkswagen/eos']
['Fox', '15', 'https://cars.av.by/volkswagen/fox']
['Gol', '1', 'https://cars.av.by/volkswagen/gol']
['Golf', '1228', 'https://cars.av.by/volkswagen/golf']
['Golf GTI', '7', 'https://cars.av.by/volkswagen/golf-gti']
['Golf Plus', '79', 'https://cars.av.by/volkswagen/golf-plus']
['Golf R', '2', 'https://cars.av.by/volkswagen/golf-r']
['Golf R32', '1', 'https://cars.av.by/volkswagen/golf-r32']
['Golf Sportsvan', '5', 'https://cars.av.by/volkswagen/golf-sportsvan']
['Jetta', '394', 'https://cars.av.by/volkswagen/jetta']
['Lupo', '16', 'https://cars.av.by/volkswagen/lupo']
['Multivan', '259', 'https://cars.av.by/volkswagen/multivan']
['Passat', '2658', 'https://cars.av.by/volkswagen/passat']
['Passat (USA)', '15', 'https://cars.av.by/volkswagen/passat-usa']
['Passat CC', '109', 'https://cars.av.by/volkswagen/passat-cc']
['Phaeton', '31', 'https://cars.av.by/volkswagen/phaeton']
['Pointer', '6', 'https://cars.av.by/volkswagen/pointer']
['Polo', '171', 'https://cars.av.by/volkswagen/polo']
['Polo Sedan', '259', 'https://cars.av.by/volkswagen/polo-sedan']
['Santana', '3', 'https://cars.av.by/volkswagen/santana']
['Scirocco', '12', 'https://cars.av.by/volkswagen/scirocco']
['Sharan', '369', 'https://cars.av.by/volkswagen/sharan']
['Teramont', '6', 'https://cars.av.by/volkswagen/teramont']
['Tiguan', '214', 'https://cars.av.by/volkswagen/tiguan']
['Touareg', '260', 'https://cars.av.by/volkswagen/touareg']
['Touran', '391', 'https://cars.av.by/volkswagen/touran']
['Transporter', '580', 'https://cars.av.by/volkswagen/transporter']
['up!', '3', 'https://cars.av.by/volkswagen/up']
['Vento', '129', 'https://cars.av.by/volkswagen/vento']
