['240 series', '8', 'https://cars.av.by/volvo/240-series']
['300 series', '6', 'https://cars.av.by/volvo/300-series']
['440', '36', 'https://cars.av.by/volvo/440']
['460', '40', 'https://cars.av.by/volvo/460']
['740', '25', 'https://cars.av.by/volvo/740']
['760', '2', 'https://cars.av.by/volvo/760']
['850', '19', 'https://cars.av.by/volvo/850']
['940', '14', 'https://cars.av.by/volvo/940']
['960', '7', 'https://cars.av.by/volvo/960']
['C30', '7', 'https://cars.av.by/volvo/c30']
['C70', '7', 'https://cars.av.by/volvo/c70']
['S40', '109', 'https://cars.av.by/volvo/s40']
['S60', '160', 'https://cars.av.by/volvo/s60']
['S70', '12', 'https://cars.av.by/volvo/s70']
['S80', '197', 'https://cars.av.by/volvo/s80']
['S90', '9', 'https://cars.av.by/volvo/s90']
['V40', '62', 'https://cars.av.by/volvo/v40']
['V50', '29', 'https://cars.av.by/volvo/v50']
['V60', '25', 'https://cars.av.by/volvo/v60']
['V70', '55', 'https://cars.av.by/volvo/v70']
['V90', '4', 'https://cars.av.by/volvo/v90']
['XC60', '128', 'https://cars.av.by/volvo/xc60']
['XC70', '71', 'https://cars.av.by/volvo/xc70']
['XC90', '261', 'https://cars.av.by/volvo/xc90']
