['2137', '1', 'https://cars.av.by/moskvich/2137']
['2138', '1', 'https://cars.av.by/moskvich/2138']
['2140', '22', 'https://cars.av.by/moskvich/2140']
['2141', '9', 'https://cars.av.by/moskvich/2141']
['401', '7', 'https://cars.av.by/moskvich/401']
['402', '2', 'https://cars.av.by/moskvich/402']
['403', '3', 'https://cars.av.by/moskvich/403']
['407', '7', 'https://cars.av.by/moskvich/407']
['408', '5', 'https://cars.av.by/moskvich/408']
['410', '1', 'https://cars.av.by/moskvich/410']
['412', '25', 'https://cars.av.by/moskvich/412']
['423', '1', 'https://cars.av.by/moskvich/423']
['Ð¡Ð²Ñ\x8fÑ\x82Ð¾Ð³Ð¾Ñ\x80', '2', 'https://cars.av.by/moskvich/svyatogor']
